n_early,seed,fold,MAE,RMSE,MAPE,MedAE,Within_50,Within_100,n_test,time_sec
50,3,0,407.83078265190125,446.74891212297723,97.61686001443518,-1,0.0,0.045454545454545456,22,12.2
50,3,1,441.7496575008739,513.1687234728553,97.6435676925851,-1,0.0,0.0,22,7.5
50,3,2,449.1990032196045,506.7572339427537,97.06014822387364,-1,0.0,0.09090909090909091,22,6.7
50,3,3,432.88542933897537,480.86656607859686,97.38598336473956,-1,0.0,0.045454545454545456,22,7.8
50,3,4,486.4513133872639,597.3974148640683,97.5497510363109,-1,0.0,0.0,22,6.8
50,4,0,407.56722979112106,446.5600534638168,97.53095158656205,-1,0.0,0.045454545454545456,22,7.7
50,4,1,441.7490471059626,513.1684406648727,97.64331952651222,-1,0.0,0.0,22,6.7
50,4,2,449.0672295743769,506.67113889186226,97.0187612148671,-1,0.0,0.09090909090909091,22,6.7
50,4,3,432.88542036576706,480.8665614160073,97.38597989492371,-1,0.0,0.045454545454545456,22,7.9
50,4,4,486.38733035867864,597.3544019938436,97.53410730672188,-1,0.0,0.0,22,10.6
50,5,0,407.5672290108421,446.56005275187334,97.53095138221597,-1,0.0,0.045454545454545456,22,8.9
50,5,1,441.74904649907893,513.1684400591379,97.64331936697722,-1,0.0,0.0,22,6.3
50,5,2,449.0672327821905,506.67114111950156,97.01876202451541,-1,0.0,0.09090909090909091,22,6.5
50,5,3,432.88551781394267,480.86668136016385,97.38599616359562,-1,0.0,0.045454545454545456,22,6.7
50,5,4,486.3854265646501,597.35312438706,97.5336418474771,-1,0.0,0.0,22,7.6
50,6,0,407.56723013791174,446.5600538278126,97.53095165790126,-1,0.0,0.045454545454545456,22,6.9
50,6,1,441.7490469759161,513.1684405355008,97.64331948806758,-1,0.0,0.0,22,7.7
50,6,2,449.0672311782837,506.6711400069224,97.01876169397181,-1,0.0,0.09090909090909091,22,6.7
50,6,3,432.89450671456075,480.8777081140765,97.38749945320892,-1,0.0,0.045454545454545456,22,8.0
50,6,4,486.38547919013286,597.3531596845053,97.5336547082865,-1,0.0,0.0,22,7.5
