method,n_early,fold,score_a_abs_PICP,score_a_abs_MPIW,score_b_norm_PICP,score_b_norm_MPIW,score_c_local_PICP,score_c_local_MPIW
deep_ensemble_preds,50,0,1.0,1725.59673461914,1.0,2389.156134409634,0.8636363636363636,708.5021925046013
deep_ensemble_preds,50,1,0.9090909090909091,918.9312072753905,0.9545454545454546,880.8950081575903,0.8181818181818182,392.91782130165905
deep_ensemble_preds,50,2,0.8636363636363636,802.1440185546875,0.9090909090909091,1178.1578968323568,0.7272727272727273,529.048594841953
deep_ensemble_preds,50,3,1.0,1056.0141235351557,0.9090909090909091,1072.8512708564087,0.5454545454545454,307.35747457609085
deep_ensemble_preds,50,4,0.9545454545454546,920.8760681152344,0.9090909090909091,1179.8646722568485,0.6818181818181818,397.6939272083087
deep_ensemble_preds,100,0,1.0,1643.4161437988287,1.0,1935.9214984576217,0.8636363636363636,669.7474720737914
deep_ensemble_preds,100,1,0.9090909090909091,742.6035583496091,1.0,3472.9025983209517,0.7272727272727273,323.52081313680253
deep_ensemble_preds,100,2,0.95,849.1290100097655,0.95,867.8209832466806,0.7,329.0735248510629
deep_ensemble_preds,100,3,1.0,974.1587524414062,0.9047619047619048,1025.4324883562194,0.6666666666666666,381.99047607945096
deep_ensemble_preds,100,4,0.9545454545454546,845.3103393554687,0.8636363636363636,1007.3995109182498,0.7727272727272727,561.8295094316243
deep_ensemble_preds,150,0,1.0,1579.506579589844,1.0,2988.4535119558045,0.9523809523809523,1169.9086599524328
deep_ensemble_preds,150,1,0.9047619047619048,621.2650390625001,0.8571428571428571,768.0897679792203,0.8095238095238095,476.11546121370503
deep_ensemble_preds,150,2,0.8947368421052632,604.1836425781252,0.8947368421052632,634.8299504324275,0.8421052631578947,522.9419300746167
deep_ensemble_preds,150,3,1.0,673.0921081542967,0.9047619047619048,892.6843746090854,0.9047619047619048,396.84612207131266
deep_ensemble_preds,150,4,0.9,629.7178955078125,0.75,597.2758521577368,0.8,494.34763634391186
hetero_preds,50,0,1.0,1204.990966796875,0.9090909090909091,1204.9909667968748,0.9545454545454546,1166.0863903877141
hetero_preds,50,1,0.8181818181818182,850.7001098632812,0.9545454545454546,850.7001098632812,0.8636363636363636,738.4723918123165
hetero_preds,50,2,0.8636363636363636,961.8130111694336,0.5909090909090909,961.8130111694336,0.7272727272727273,786.1662976613719
hetero_preds,50,3,0.9545454545454546,1006.2890960693362,0.9545454545454546,1006.2890960693359,0.7727272727272727,631.054293202811
hetero_preds,50,4,1.0,39536.91487426756,1.0,39536.914874267575,0.8636363636363636,20526.37840201257
hetero_preds,100,0,0.9545454545454546,2118.747509765626,1.0,2118.7475097656256,0.8636363636363636,1412.8627126023612
hetero_preds,100,1,0.9545454545454546,4864.528344726565,0.9545454545454546,4864.528344726564,0.9545454545454546,2515.750094469483
hetero_preds,100,2,0.95,1999076.0,0.75,102939.36416023063,0.9,656155.1028962629
hetero_preds,100,3,0.9523809523809523,3819.3548583984375,1.0,3819.3548583984375,0.9523809523809523,2700.624652217056
hetero_preds,100,4,1.0,12606.069848632813,1.0,12606.069848632813,0.9545454545454546,4211.744779749367
hetero_preds,150,0,0.9523809523809523,1708.6739013671877,0.9523809523809523,1708.6739013671872,0.8571428571428571,1378.7461882676366
hetero_preds,150,1,1.0,14445.176208496094,1.0,14445.176208496094,0.7619047619047619,6066.089881124043
hetero_preds,150,2,1.0,1999504.0,1.0,1999504.0,0.7894736842105263,843047.8971618582
hetero_preds,150,3,0.8095238095238095,5459.742285156235,0.0,794.7508735210764,0.8095238095238095,3995.1516605341667
hetero_preds,150,4,1.0,5100.390637207032,1.0,5100.390637207031,0.75,1698.3589367595773
gp_preds,50,0,1.0,1762.5750475996037,1.0,1762.5750475996037,0.9545454545454546,722.1669183014747
gp_preds,50,1,0.9090909090909091,863.6732009298489,0.9090909090909091,863.6732009298486,0.8181818181818182,424.9498800788908
gp_preds,50,2,0.8636363636363636,878.4944263529264,0.9545454545454546,878.4944263529264,0.6818181818181818,500.06858500924864
gp_preds,50,3,1.0,967.1985903513558,0.9545454545454546,967.1985903513558,0.5909090909090909,373.3254507192327
gp_preds,50,4,0.9545454545454546,959.0822988256801,0.9545454545454546,959.08229882568,0.9090909090909091,806.2363452678717
gp_preds,100,0,1.0,1661.9846534819144,1.0,1661.9846534819133,0.9090909090909091,810.4538746650156
gp_preds,100,1,0.9090909090909091,840.7887981338695,0.9090909090909091,840.7887981338695,0.8181818181818182,440.7567892966404
gp_preds,100,2,1.0,923.1624851092735,1.0,923.1624851092732,0.85,561.6040792106035
gp_preds,100,3,1.0,899.5124699430523,1.0,899.5124699430523,0.6190476190476191,240.90132259088833
gp_preds,100,4,0.9545454545454546,1043.6437146882317,0.9545454545454546,1043.6437146882324,0.8636363636363636,692.6577608792412
gp_preds,150,0,1.0,1498.805950474091,1.0,1498.805950474091,0.9523809523809523,1376.1638600795598
gp_preds,150,1,0.9047619047619048,600.6359813829301,0.9047619047619048,600.6359813829304,0.8571428571428571,632.6707833316142
gp_preds,150,2,0.9473684210526315,610.2391664672781,0.8947368421052632,610.2391664672781,0.9473684210526315,605.9455981361577
gp_preds,150,3,0.9523809523809523,690.3975245886575,0.8571428571428571,690.3975245886577,0.7619047619047619,473.33869343688934
gp_preds,150,4,0.8,573.5929430515783,0.9,573.5929430515782,0.9,754.5471255637976
