n_early,fold,DE_MAE,CQR_MAE,DE_PICP,CQR_PICP,DE_MPIW,CQR_MPIW,DE_tail_PICP,CQR_tail_PICP,DE_MPIW@PICP90,CQR_MPIW@PICP90,DE_sharp@PICP95,CQR_sharp@PICP95
50,0,97.04266225641423,131.74907247369936,1.0,1.0,1725.59673461914,1069.7710735177507,1.0,1.0,545.9230346681311,410.4846404313105,700.2618652351169,488.11897030070867
50,1,130.89302139282225,146.57947387695313,0.9090909090909091,0.8636363636363636,918.9312072753905,556.1718221057545,0.6666666666666666,0.6666666666666666,479.1976501444751,869.8748626516021,1175.2551696790315,921.2688755430878
50,2,156.11652103770862,171.79942127574574,0.8636363636363636,0.9090909090909091,802.1440185546875,948.620487014814,0.8333333333333334,0.8333333333333334,829.9526977551235,839.3874307280784,889.2427063004653,1181.8381866715024
50,3,149.39019619985058,140.15297518643467,1.0,0.9545454545454546,1056.0141235351557,749.706356550677,1.0,1.0,786.0789550801857,707.660193688782,863.9792785667971,725.4551173189485
50,4,202.3625781319358,237.71754899160425,0.9545454545454546,0.7727272727272727,920.8760681152344,688.0030414908108,0.8333333333333334,0.8333333333333334,806.7540222156621,792.1015205567529,809.3012329105436,1146.1637885667105
100,0,85.28415187488903,140.5509975086559,1.0,1.0,1643.4161437988287,846.5540618923118,1.0,1.0,692.8908019983431,519.8554968126077,762.7763244610886,653.6685462305348
100,1,126.04316544966264,167.92990930598614,0.9090909090909091,0.9090909090909091,742.6035583496091,726.4190716971134,0.6666666666666666,0.6666666666666666,652.3108825681211,708.1022258123572,984.9587341318583,925.9176905772762
100,2,155.39056678771973,165.9810693359375,0.95,0.95,849.1290100097655,965.8456549113532,0.8,0.8,711.8269836437,792.613815013641,847.8299133319363,936.7125726067846
100,3,127.50511401948476,139.4550117129371,1.0,0.9523809523809523,974.1587524414062,912.7239458831015,1.0,1.0,738.8525085448451,388.2382259306748,739.0148132344372,415.11267072883476
100,4,195.59815781333228,212.66463706276633,0.9545454545454546,0.8636363636363636,845.3103393554687,1004.8018461580959,0.8333333333333334,0.8333333333333334,755.5160095216426,1089.6271957716117,766.7041259776634,1105.7618989637365
150,0,69.58260505312965,120.82782345726376,1.0,1.0,1579.506579589844,787.9201709910694,1.0,1.0,283.9173583972496,416.66715755803733,567.3026245121437,423.47171809362504
150,1,118.02720867338637,153.09342360723585,0.9047619047619048,0.8571428571428571,621.2650390625001,608.2226443381529,0.6666666666666666,0.6666666666666666,524.3833312981214,741.6480688632654,857.5748046863109,812.1854517097842
150,2,109.98659619783099,183.8971977685627,0.8947368421052632,0.9473684210526315,604.1836425781252,804.8921016889124,0.6,1.0,613.8818603505445,755.6282797770632,803.7157409681042,1042.3716047748057
150,3,89.27502143496561,137.49912598984582,1.0,0.8571428571428571,673.0921081542967,790.4176969255766,1.0,1.0,535.3997314461125,1285.7813201441484,550.8775146497895,1449.7891914594857
150,4,171.0444310760498,173.29508178710938,0.9,0.85,629.7178955078125,582.5345205319976,0.6,0.8,625.4122436525579,666.1115973407784,638.8467041017396,987.052709836659
