method,n_paired,mae_DE,mae_other,delta_mean,delta_median,p_permutation,p_wilcoxon,bca95_lower,bca95_upper,holm_rank,holm_threshold,holm_significant,bonferroni_threshold,bonferroni_significant
CQR_PINN_Knee,102,111.03152438893038,152.93898262241308,41.90745823348271,37.93091430664066,1e-05,7.889661023999704e-06,26.15961098152484,58.52900335423381,1,0.0038461538461538464,True,0.0038461538461538464,True
Last_Layer_Laplace,102,111.03152438893038,517.2803269891177,406.24880260018745,53.01151733398436,1e-05,2.7538954562039912e-08,196.0669477798292,818.7968066904842,2,0.004166666666666667,True,0.0038461538461538464,True
Bayesian_LSTM,102,111.03152438893038,184.15579021728118,73.12426582835079,91.46499013264975,1e-05,1.6849732072235418e-10,54.8438293833733,87.9939037527983,3,0.004545454545454546,True,0.0038461538461538464,True
Ensemble_NN,102,111.03152438893038,191.45434878196502,80.42282439303467,96.40583251953123,1e-05,4.7717953540391025e-11,61.86005618921515,98.05143056423165,4,0.005,True,0.0038461538461538464,True
CQR_MLP_v2,102,111.03152438893038,140.95497209698544,29.923447708055093,8.469384002685558,0.00097,0.0163136513316847,14.943978555162227,51.62569117284182,5,0.005555555555555556,True,0.0038461538461538464,True
Gaussian_Process,102,111.03152438893038,124.72469524302433,13.693170854093944,8.099628820543323,0.00343,0.0093557189829438,5.542862241112628,24.2630133064515,6,0.00625,True,0.0038461538461538464,True
Heteroscedastic_MLP_v2,102,111.03152438893038,137.1304468192306,26.09892243030025,5.883975219726551,0.00548,0.0446521776770127,10.007496967517028,48.259777606279286,7,0.0071428571428571435,True,0.0038461538461538464,False
Hyper_Deep_Ensemble,102,111.03152438893038,112.86295049330768,1.8314261043773026,2.3174102783203168,0.08758,0.1300599631916073,-0.20773051199249373,3.974000330483093,8,0.008333333333333333,False,0.0038461538461538464,False
Combined_UQ_PINN_Knee,102,111.03152438893038,110.83515969220332,-0.196364696727068,-0.2290200297037739,0.19383,0.3158012064212344,-0.4924675090910976,0.09727273277701365,9,0.01,False,0.0038461538461538464,False
NGBoost,102,111.03152438893038,122.84176289507683,11.81023850614642,-5.00381209269595,0.21609,0.6582655498898962,-5.177179749925418,31.28557807131722,10,0.0125,False,0.0038461538461538464,False
Jackknife_Plus_PINN_Knee,102,111.03152438893038,113.2177065007827,2.186182111852317,0.9670776367187273,0.45589,0.4698541552728233,-2.9047633525360714,7.986249957060419,11,0.016666666666666666,False,0.0038461538461538464,False
SNGP,102,111.03152438893038,113.09844233194984,2.0669179430194995,-0.5633850097655682,0.5662,0.7958597026097632,-4.784852492948826,9.20856620515607,12,0.025,False,0.0038461538461538464,False
Bootstrap_PINN_Knee,102,111.03152438893038,112.23090321409938,1.199378825168996,1.3080368041992188,0.62101,0.527004383636474,-3.5597197590447616,5.809099753754982,13,0.05,False,0.0038461538461538464,False
