method,n_early,MAE_mean,MAE_std,MAPE_mean,MAPE_std,MedAPE_mean,n_runs,any_diverged
Bayesian_LSTM,50,194.6872080175226,32.35215838342399,56.80153179914019,14.53519668522701,42.88032429888044,5,False
Bayesian_LSTM,100,191.6878488910251,31.76301458926937,45.85211664708684,4.484209508344977,40.86972840955637,5,False
Bayesian_LSTM,150,184.54796028934564,33.5175013966381,38.65838611213037,4.627082512610636,36.41884971067534,5,False
CQR_MLP,50,293.3080844358964,137.9657041887367,125.06723978658779,102.08710708129142,38.107891291221975,5,False
CQR_MLP,100,10281.620964445687,22444.142929143505,3973.6857224196474,8738.847662754819,42.708680707033906,5,True
CQR_MLP,150,22694.89397653388,50057.74141549787,8493.737348743467,18803.841550983718,30.766258728883987,5,True
CQR_PINN_Knee,50,165.59969836088743,42.99590235274245,55.988078885411255,23.86986103242449,30.493510521094777,5,False
CQR_PINN_Knee,100,165.31632498525659,29.712221112847246,48.19574422289786,12.80351863254442,26.505242297697073,5,False
CQR_PINN_Knee,150,153.72253052200352,25.6868239057744,34.7006413032958,4.97771010435531,26.54652228119724,5,False
Deep_Ensemble_PINN_Knee,50,147.1609958037463,38.43461918360231,49.702132024491064,27.805579284316757,19.331086862734686,5,False
Deep_Ensemble_PINN_Knee,100,137.96423118901768,40.780026874091185,34.406915608626335,11.199992122368327,17.39893728131341,5,False
Deep_Ensemble_PINN_Knee,150,111.58317248707249,38.21458229308517,20.950791452459857,5.775002121103533,16.57531401839568,5,False
Ensemble_NN,50,198.90486129080708,32.329235109257596,58.20503966269611,12.862211886808367,43.32161608923959,5,False
Ensemble_NN,100,197.7167365022816,31.444398877340507,50.76460406592063,5.727209049359894,44.23760572216747,5,False
Ensemble_NN,150,191.682592880281,30.14826447605331,42.32687140769657,5.403109482501193,35.397102780056294,5,False
Gaussian_Process,50,156.66220289615632,42.59823035326336,57.5128363888031,35.86925686340819,24.300278542248243,5,False
Gaussian_Process,100,141.4407468110663,42.84945028539839,37.95423260698696,12.4025746442774,21.864466019104945,5,False
Gaussian_Process,150,125.29372711610463,34.42817675094782,25.958706923110082,5.3691085520425625,18.21591039554722,5,False
Heteroscedastic_MLP,50,415.44241947174066,394.330873195227,179.30090940913487,168.0550392653064,39.52197471206983,5,False
Heteroscedastic_MLP,100,10423.109397772818,22398.202952709224,4010.3148819529792,8723.616095581734,47.272984143839935,5,True
Heteroscedastic_MLP,150,29894.76478693522,64664.71462412903,9849.281942010775,21314.962708711664,41.49140306476469,5,True
