method,n_early,fold,MAE,MAPE_%,MedAPE_%,RMSE,n_cells,diverged
Deep_Ensemble_PINN_Knee,50,0,97.04266225641423,32.02136107443536,16.656036296365585,154.00779000360228,22,False
Deep_Ensemble_PINN_Knee,50,1,130.89302139282225,29.75696847475424,17.837042622224097,241.90052036796502,22,False
Deep_Ensemble_PINN_Knee,50,2,156.11652103770862,96.83100795028908,18.39231287135655,232.69106691830424,22,False
Deep_Ensemble_PINN_Knee,50,3,149.39019619985058,37.33824208271131,21.56337796140512,214.22276551467155,22,False
Deep_Ensemble_PINN_Knee,50,4,202.3625781319358,52.563080540265325,22.20666456232209,333.9823462386752,22,False
Deep_Ensemble_PINN_Knee,100,0,85.28415187488903,30.500477624682343,11.875932530809344,146.32156349868694,22,False
Deep_Ensemble_PINN_Knee,100,1,126.04316544966264,31.71040539564819,12.294912186197493,229.13222446744308,22,False
Deep_Ensemble_PINN_Knee,100,2,155.39056678771973,34.96909836762164,22.617526325061895,205.99182048386734,20,False
Deep_Ensemble_PINN_Knee,100,3,127.50511401948476,22.250566200402133,15.167911636781497,179.85886854469857,21,False
Deep_Ensemble_PINN_Knee,100,4,195.59815781333228,52.60403045477736,25.038403727716826,320.2803740293719,22,False
Deep_Ensemble_PINN_Knee,150,0,69.58260505312965,13.67805348343001,9.117423095703133,109.21924678142784,21,False
Deep_Ensemble_PINN_Knee,150,1,118.02720867338637,24.07691976087063,13.266961084653248,215.49595248477578,21,False
Deep_Ensemble_PINN_Knee,150,2,109.98659619783099,19.791013936704566,24.510277898471237,156.5417873177496,19,False
Deep_Ensemble_PINN_Knee,150,3,89.27502143496561,18.345028589537225,14.923495015790389,125.50365748971336,21,False
Deep_Ensemble_PINN_Knee,150,4,171.0444310760498,28.86294149175685,21.0584129973604,294.12116261512233,20,False
CQR_PINN_Knee,50,0,131.74907247369936,44.654322710368916,26.831097360683167,181.5611081081026,22,False
CQR_PINN_Knee,50,1,146.57947387695313,38.928156988913685,31.92633734172847,215.51121363227296,22,False
CQR_PINN_Knee,50,2,171.79942127574574,88.39742847182099,27.3100247084613,226.95075051436206,22,False
CQR_PINN_Knee,50,3,140.15297518643467,33.96578149135798,28.414218406639957,194.27613256029403,22,False
CQR_PINN_Knee,50,4,237.71754899160425,73.9947047645947,37.985874787960995,343.0598453262159,22,False
CQR_PINN_Knee,100,0,140.5509975086559,50.09984003954712,19.640130352896435,201.32493445952562,22,False
CQR_PINN_Knee,100,1,167.92990930598614,46.83915156045441,29.22822654915617,235.53509130072533,22,False
CQR_PINN_Knee,100,2,165.9810693359375,46.13424435709682,31.795837089736217,205.20424681902878,20,False
CQR_PINN_Knee,100,3,139.4550117129371,30.996426722612764,26.071313437248396,182.69158323409482,21,False
CQR_PINN_Knee,100,4,212.66463706276633,66.90905843477816,25.790704059448153,325.309860112573,22,False
CQR_PINN_Knee,150,0,120.82782345726376,28.396684257799446,27.60013064822636,153.8110955358297,21,False
CQR_PINN_Knee,150,1,153.09342360723585,35.0744839752129,23.334579317292274,223.9897597807468,21,False
CQR_PINN_Knee,150,2,183.8971977685627,42.06734359672098,30.164836592463608,224.7679894272788,19,False
CQR_PINN_Knee,150,3,137.49912598984582,35.384232440575,31.001530965169273,197.35729799283334,21,False
CQR_PINN_Knee,150,4,173.29508178710938,32.58046224617065,20.631533882834695,292.73681624883994,20,False
CQR_MLP,50,0,159.61535932367497,47.92748743980706,37.499168970801804,204.30511087445652,22,False
CQR_MLP,50,1,201.0833652843129,49.61657758646727,20.781030112165745,330.4218424995108,22,False
CQR_MLP,50,2,395.9217622236772,289.78821384796714,48.49485652458009,720.2024167019233,22,False
CQR_MLP,50,3,229.20718982002953,81.33771055088354,46.02211240401453,275.93231593938754,22,False
CQR_MLP,50,4,480.71274552778755,156.666209507814,37.742288444547725,1047.0834599326745,22,False
CQR_MLP,100,0,231.57249700372867,72.26635729547978,38.059048512132065,387.4608448632723,22,False
CQR_MLP,100,1,276.98299151333896,75.96774557344628,33.05141780662679,562.3546375135641,22,False
CQR_MLP,100,2,50430.879076633464,19606.1920600514,53.372424958427715,223551.2670495923,20,True
CQR_MLP,100,3,194.83935650416782,41.735338532400135,37.362586807310194,246.55997624359196,21,False
CQR_MLP,100,4,273.83090057373045,72.26711064551077,51.69792545067276,365.87004699479263,22,False
CQR_MLP,150,0,230.43240639822818,72.58030403988748,22.661173257483046,574.9572656308868,21,False
CQR_MLP,150,1,324.2142079852876,76.85606500757744,31.11113212968661,571.2777785582941,21,False
CQR_MLP,150,2,389.00542515202574,119.18895857130121,23.270199672538975,1031.2240098436596,19,False
CQR_MLP,150,3,112240.8452491397,42131.05215876408,35.34188928738446,316670.2708873214,21,True
CQR_MLP,150,4,289.9725939941406,69.00925733449057,41.44689929732685,396.20776462209534,20,False
Ensemble_NN,50,0,152.51294405850496,45.4694304546977,43.022003892771004,190.8793481814612,22,False
Ensemble_NN,50,1,193.71263085798785,47.233402102071345,38.990081236761014,282.14393273123466,22,False
Ensemble_NN,50,2,205.09407481800426,77.18153637218064,45.26261278629906,246.70815382742043,22,False
Ensemble_NN,50,3,200.00496575615622,62.5548516902518,44.53049810232063,224.25823197550616,22,False
Ensemble_NN,50,4,243.19969096338207,58.585977694279045,44.802884428046255,360.1240540859482,22,False
Ensemble_NN,100,0,155.0775550148704,47.880355049551255,38.13808316574328,192.54378883550982,22,False
Ensemble_NN,100,1,188.22619729475537,48.376186487936,42.962324505145304,277.7308856430349,22,False
Ensemble_NN,100,2,196.25338936042786,48.31617921523504,43.689656975076744,250.81778289194986,20,False
Ensemble_NN,100,3,207.06934732800437,48.24636258928415,50.69948624213215,232.34302023718087,21,False
Ensemble_NN,100,4,241.95719351335,61.003936987596674,45.69847772273988,356.65472466996687,22,False
Ensemble_NN,150,0,151.92536937895278,39.696631263023264,38.19341335759183,182.42311693113643,21,False
Ensemble_NN,150,1,176.52356378464472,41.584069420691584,35.00308501070959,266.6454111138425,21,False
Ensemble_NN,150,2,186.8722094244706,39.407217270227136,19.04111939657126,250.906828766277,19,False
Ensemble_NN,150,3,218.5075639932075,51.836436372565956,50.05686044631308,239.72953409835267,21,False
Ensemble_NN,150,4,224.58425782012938,39.1100027119749,34.6910356890957,352.03442474709476,20,False
Bayesian_LSTM,50,0,147.85741169785004,46.356213050785726,38.02086931647946,183.6954326412632,22,False
Bayesian_LSTM,50,1,185.71981833486845,43.72991679002854,34.07706758022029,271.92143804238987,22,False
Bayesian_LSTM,50,2,204.1910479551373,79.88020341531107,42.96304498515751,248.3993536646431,22,False
Bayesian_LSTM,50,3,198.45161094665525,61.04526518507817,50.38342599504144,218.941107387216,22,False
Bayesian_LSTM,50,4,237.21615115310206,52.99606055449745,48.957213617503484,366.5317849533711,22,False
Bayesian_LSTM,100,0,147.89141190268776,46.43568092464645,37.900915639854134,183.60343085642577,22,False
Bayesian_LSTM,100,1,186.04062384634307,44.050501073905195,34.13620020593197,272.02809098077904,22,False
Bayesian_LSTM,100,2,193.4684610010783,41.49489798019712,33.7442135633393,241.07870831974228,20,False
Bayesian_LSTM,100,3,193.76525244818794,44.03980588785746,49.20578214173676,214.71896351465955,21,False
Bayesian_LSTM,100,4,237.2734952568285,53.239697368827954,49.36153049691968,365.7131998762863,22,False
Bayesian_LSTM,150,0,139.82967669290207,34.97019521404547,31.227678319389916,173.78391312662896,21,False
Bayesian_LSTM,150,1,178.49908340454098,38.34165155371506,29.39526815028936,266.78119627507465,21,False
Bayesian_LSTM,150,2,180.06493083217688,34.21803469669395,23.449162991716236,229.92087732907606,19,False
Bayesian_LSTM,150,3,190.830743962848,45.75838670973351,48.729725287052105,207.4941977213122,21,False
Bayesian_LSTM,150,4,233.51536655426025,40.003662386463866,49.29241380492907,367.39224236767376,20,False
Gaussian_Process,50,0,94.46538403284144,30.513226670728276,12.507764985821172,150.74840331039812,22,False
Gaussian_Process,50,1,142.64452711450375,34.61918789489115,21.169397464302232,245.4155426900994,22,False
Gaussian_Process,50,2,180.9077945223757,118.02458766370468,29.46955485728294,268.85641314091566,22,False
Gaussian_Process,50,3,157.59405721390357,42.84228531090759,31.731367673139182,201.1607932829513,22,False
Gaussian_Process,50,4,207.69925159715706,61.564894403783796,26.623307730695675,332.3933353197932,22,False
Gaussian_Process,100,0,86.05475791436912,31.801131993515018,9.480895563849957,146.14927955622136,22,False
Gaussian_Process,100,1,128.89739774304132,33.592466226702825,17.507372218204125,230.79662198322848,22,False
Gaussian_Process,100,2,152.8233533351325,38.0670929006874,29.31284818944593,195.45309543335182,20,False
Gaussian_Process,100,3,135.13790656874286,27.276064552752068,25.76174546625752,174.88471035145844,21,False
Gaussian_Process,100,4,204.29031849404566,59.0344073612775,27.259468657767208,313.49044923262727,22,False
Gaussian_Process,150,0,80.49659913692412,17.530532134976205,12.530144488409286,112.43112404925084,21,False
Gaussian_Process,150,1,122.64101034737557,25.652775357617685,13.780921130780147,211.56049070514314,21,False
Gaussian_Process,150,2,128.5138177940206,25.858970041870627,28.511642694296064,163.28242784395985,19,False
Gaussian_Process,150,3,117.92239313968305,28.77044294414056,16.427486531693646,164.00231898956943,21,False
Gaussian_Process,150,4,176.89481516251982,31.980814136945327,19.829357132556957,289.34750114331666,20,False
Heteroscedastic_MLP,50,0,145.54526505903763,41.68249510708042,26.584097655307374,192.83427605374615,22,False
Heteroscedastic_MLP,50,1,171.31336167075418,39.35547840911415,22.569405040720184,259.40637888562713,22,False
Heteroscedastic_MLP,50,2,447.51996009133074,365.7059885745638,55.06897408332166,921.5581396057353,22,False
Heteroscedastic_MLP,50,3,224.920724140514,91.56746598162982,45.33091696991062,294.38242960168,22,False
Heteroscedastic_MLP,50,4,1087.9127863970668,358.1931189732861,48.056479811089304,3105.000840025591,22,False
Heteroscedastic_MLP,100,0,229.0801598982378,71.39779868588502,30.466548086367496,393.10157736127894,22,False
Heteroscedastic_MLP,100,1,760.671059729836,218.36219490926706,42.45083569075824,2366.361016077513,22,False
Heteroscedastic_MLP,100,2,50488.51109054565,19615.185268936813,60.15232152240927,223551.77253948388,20,True
Heteroscedastic_MLP,100,3,326.17330678304035,70.5295699525607,51.530926657504715,617.6174008609786,21,False
Heteroscedastic_MLP,100,4,311.1113719073209,76.09957728037314,51.76428876215995,481.45914512875987,22,False
Heteroscedastic_MLP,150,0,268.3374555315289,86.23490497533608,25.665748970561015,703.2491990761414,21,False
Heteroscedastic_MLP,150,1,629.025657453991,161.85970955322006,42.53379585816688,1581.7469907714333,21,False
Heteroscedastic_MLP,150,2,2712.579485561973,952.6300946490111,47.952534707305986,9752.629202784721,19,False
Heteroscedastic_MLP,150,3,145556.40064215887,47972.97039401958,49.15702107747396,378003.6690425395,21,True
Heteroscedastic_MLP,150,4,307.48069396972653,72.71460685673199,42.14791471031559,422.35737523138494,20,False
