method,n_early,stratum,coverage_mean,coverage_std,n_folds
Bayesian_LSTM,50,high,0.7619047619047619,0.24281045302822785,5
Bayesian_LSTM,50,low,1.0,0.0,5
Bayesian_LSTM,50,mid,1.0,0.0,5
Bayesian_LSTM,100,high,0.7619047619047619,0.24281045302822785,5
Bayesian_LSTM,100,low,1.0,0.0,5
Bayesian_LSTM,100,mid,1.0,0.0,5
Bayesian_LSTM,150,high,0.7523809523809524,0.24605734633835835,5
Bayesian_LSTM,150,low,1.0,0.0,5
Bayesian_LSTM,150,mid,1.0,0.0,5
CQR_MLP,50,high,0.8476190476190476,0.1557659736552012,5
CQR_MLP,50,low,0.9428571428571428,0.07824607964359515,5
CQR_MLP,50,mid,0.8555555555555555,0.1323458805507955,5
CQR_MLP,100,high,1.0,0.0,5
CQR_MLP,100,low,0.9714285714285713,0.06388765649999402,5
CQR_MLP,100,mid,0.9777777777777779,0.049690399499995354,5
CQR_MLP,150,high,0.9714285714285713,0.06388765649999402,5
CQR_MLP,150,low,0.8857142857142858,0.18626292586293283,5
CQR_MLP,150,mid,1.0,0.0,5
CQR_PINN_Knee,50,high,0.9380952380952381,0.08518354199999198,5
CQR_PINN_Knee,50,low,0.9714285714285713,0.06388765649999402,5
CQR_PINN_Knee,50,mid,1.0,0.0,5
CQR_PINN_Knee,100,high,0.9380952380952381,0.08518354199999198,5
CQR_PINN_Knee,100,low,1.0,0.0,5
CQR_PINN_Knee,100,mid,1.0,0.0,5
CQR_PINN_Knee,150,high,0.8095238095238095,0.14285714285714285,5
CQR_PINN_Knee,150,low,0.9380952380952381,0.08518354199999195,5
CQR_PINN_Knee,150,mid,1.0,0.0,5
Deep_Ensemble_PINN_Knee,50,high,0.8761904761904761,0.13718914562750414,5
Deep_Ensemble_PINN_Knee,50,low,0.9428571428571428,0.12777531299998796,5
Deep_Ensemble_PINN_Knee,50,mid,1.0,0.0,5
Deep_Ensemble_PINN_Knee,100,high,0.8761904761904761,0.13718914562750414,5
Deep_Ensemble_PINN_Knee,100,low,1.0,0.0,5
Deep_Ensemble_PINN_Knee,100,mid,1.0,0.0,5
Deep_Ensemble_PINN_Knee,150,high,0.8095238095238095,0.1749635530559413,5
Deep_Ensemble_PINN_Knee,150,low,1.0,0.0,5
Deep_Ensemble_PINN_Knee,150,mid,1.0,0.0,5
Ensemble_NN,50,high,0.8761904761904761,0.13718914562750414,5
Ensemble_NN,50,low,1.0,0.0,5
Ensemble_NN,50,mid,1.0,0.0,5
Ensemble_NN,100,high,0.9047619047619048,0.14677176197545186,5
Ensemble_NN,100,low,1.0,0.0,5
Ensemble_NN,100,mid,1.0,0.0,5
Ensemble_NN,150,high,0.8380952380952381,0.16700645635000175,5
Ensemble_NN,150,low,1.0,0.0,5
Ensemble_NN,150,mid,1.0,0.0,5
Gaussian_Process,50,high,0.8761904761904761,0.13718914562750414,5
Gaussian_Process,50,low,0.9428571428571428,0.12777531299998796,5
Gaussian_Process,50,mid,1.0,0.0,5
Gaussian_Process,100,high,0.9047619047619048,0.14677176197545186,5
Gaussian_Process,100,low,1.0,0.0,5
Gaussian_Process,100,mid,1.0,0.0,5
Gaussian_Process,150,high,0.8428571428571429,0.11857047236179745,5
Gaussian_Process,150,low,0.9714285714285713,0.06388765649999402,5
Gaussian_Process,150,mid,0.9333333333333333,0.149071198499986,5
Heteroscedastic_MLP,50,high,0.8714285714285713,0.21665358411575858,5
Heteroscedastic_MLP,50,low,0.9428571428571428,0.07824607964359516,5
Heteroscedastic_MLP,50,mid,0.9527777777777778,0.06484787516627086,5
Heteroscedastic_MLP,100,high,1.0,0.0,5
Heteroscedastic_MLP,100,low,0.9428571428571428,0.07824607964359516,5
Heteroscedastic_MLP,100,mid,0.9492063492063492,0.07045187625768938,5
Heteroscedastic_MLP,150,high,0.9714285714285713,0.06388765649999402,5
Heteroscedastic_MLP,150,low,0.8857142857142858,0.18626292586293283,5
Heteroscedastic_MLP,150,mid,1.0,0.0,5
